Band Material,Band Notes,Bezel,COSC Certified,Case Back,Case Dimensions,Case Material,Case Shape,Case Thickness,Clasp,Color/Finish,Complications,Condition,Crystal,Dial Color,Edition,Lug Width,Movement,Screw-in Crown,Water Resistance,url
,,Fixed,,,39mm ,Stainless Steel,Round,7.89mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-stc-00300.html
,,Fixed,,,39mm ,Stainless Steel,Round,7.89mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-stc-20001.html
,,Fixed,,,39mm ,Stainless Steel,Round,7.89mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,50m/165ft,https://www.prestigetime.com/Raymond-Weil-Toccata-39mm-5488-sl5-65001.html
,,Fixed,,,39mm ,Gold Plated,Round,7.89mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-pc5-65001.html
,,Fixed,,,39mm ,Gold Plated,Round,7.89mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-pc5-20001.html
,,Fixed,,,40mm ,Stainless Steel,Round,8.2mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,100m/330ft,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Date-Mens/mi1018-ss002-330.html
,,Fixed,,,40mm ,Stainless Steel,Round,8.2mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,Yes,100m/330ft,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Date-Mens/mi1018-ss002-130.html
,,Fixed,,,41mm ,Stainless Steel,Round,11.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/Conquest-Quartz-41mm/L3.659.4.58.6.html
,,Fixed,,,39mm ,Stainless Steel,Round,6mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tradition/5466-st-00208.html
,,Fixed,,,39mm ,Stainless Steel,Round,6mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tradition/5466-st-00300.html
,,Fixed,,,39mm ,Stainless Steel,Round,6mm,,,,New/Unworn,Scratch Resistant Sapphire,Grey,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tradition/5466-st-00608.html
,,Fixed,,,39mm ,Stainless Steel,Round,8.29mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5484-stc-20001.html
,,Fixed,,,39mm ,Gold Plated,Round,7.89mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-pc-00300.html
,,Fixed,,,43mm ,Stainless Steel,Round,11.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-43mm-L3-760-4-56-6.html
,,Fixed,,,43mm ,Stainless Steel,Round,11.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-43mm-L3-760-4-96-6.html
,,Fixed,,,43mm ,Stainless Steel,Round,11.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-43mm-L3-760-4-76-6.html
,,Fixed,,,43mm ,Stainless Steel,Round,11.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-43mm-L3-760-4-76-5.html
,,Fixed,,,43mm ,Stainless Steel,Round,11.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-43mm-L3-760-4-56-3.html
,,Fixed,,,42mm ,Stainless Steel,Round,7.82mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-42mm/5588-st-00300.html
,,Fixed,,,42mm ,Stainless Steel,Round,7.82mm,,,,New/Unworn,Scratch Resistant Sapphire,Grey,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-42mm/5588-st-60001.html
,,Fixed,,,42mm ,Stainless Steel,Round,7.82mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-42mm/5588-st-20001.html
,,Fixed,,,42mm ,Stainless Steel,Round,7.82mm,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-42mm/5588-st-50001.html
,,Fixed,,,39mm ,Stainless Steel,Round,7.89mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-st-00300.html
,,Fixed,,,39mm ,Stainless Steel,Round,7.6mm,,,,New/Unworn,Scratch Resistant Sapphire,Grey,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5599-st-00608.html
,,Fixed,,,39mm ,Stainless Steel,Round,7.6mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5599-st-00658.html
,,Fixed,,,39mm ,Stainless Steel,Round,7.6mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5599-st-00308.html
,,Fixed,,,39mm ,Stainless Steel,Round,8.29mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5484-st-65001.html
,,Uni-Directional Rotating,,,41mm ,Stainless Steel,Round,10.2mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Quartz-41mm/L3.689.4.53.6.html
