Band Material,Band Name,Band Notes,Bezel,COSC Certified,Case Back,Case Dimensions,Case Material,Case Shape,Case Thickness,Clasp,Clasp Features,Clasp Notes,Color/Finish,Complications,Condition,Crystal,Dial Color,Edition,Lug Width,Movement,Screw-in Crown,Water Resistance,url
Calfskin Leather,,with alligator motif,Fixed,,Solid,39mm ,Stainless Steel,Round,7.89mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-stc-00300.html
Calfskin Leather,,alligator motif,Fixed,,Solid,39mm ,Stainless Steel,Round,7.89mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-stc-20001.html
Calfskin Leather,,alligator motif,Fixed,,Solid,39mm ,Stainless Steel,Round,7.89mm,Tang Buckle,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,50m/165ft,https://www.prestigetime.com/Raymond-Weil-Toccata-39mm-5488-sl5-65001.html
Leather,,,Fixed,,Solid,39mm ,Gold Plated,Round,7.89mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-pc5-65001.html
Leather,,,Fixed,,Solid,39mm ,Gold Plated,Round,7.89mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-pc5-20001.html
Stainless Steel,,,Fixed,,Solid,40mm ,Stainless Steel,Round,8.2mm,Push Button Folding Clasp,,,Brushed,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,100m/330ft,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Date-Mens/mi1018-ss002-330.html
Stainless Steel,,,Fixed,,Solid,40mm ,Stainless Steel,Round,8.2mm,Push Button Folding Clasp,,,Brushed,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,Yes,100m/330ft,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Date-Mens/mi1018-ss002-130.html
Stainless Steel,,,Fixed,,Solid,41mm ,Stainless Steel,Round,11.5mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/Conquest-Quartz-41mm/L3.659.4.58.6.html
Stainless Steel,,,Fixed,,Solid,39mm ,Stainless Steel,Round,6mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tradition/5466-st-00208.html
Stainless Steel,,,Fixed,,Solid,39mm ,Stainless Steel,Round,6mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tradition/5466-st-00300.html
Stainless Steel,,,Fixed,,Solid,39mm ,Stainless Steel,Round,6mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Grey,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tradition/5466-st-00608.html
Alligator/Crocodile Leather,,,Fixed,,Solid,39mm ,Stainless Steel,Round,8.29mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5484-stc-20001.html
Alligator/Crocodile Leather,,,Fixed,,Solid,39mm ,Gold Plated,Round,7.89mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-pc-00300.html
Stainless Steel,,,Fixed,,Solid,43mm ,Stainless Steel,Round,11.5mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,22mm,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-43mm-L3-760-4-56-6.html
Stainless Steel,,,Fixed,,Solid,43mm ,Stainless Steel,Round,11.5mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Blue,,22mm,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-43mm-L3-760-4-96-6.html
Stainless Steel,,,Fixed,,Solid,43mm ,Stainless Steel,Round,11.5mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,22mm,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-43mm-L3-760-4-76-6.html
Calfskin Leather,,,Fixed,,Solid,43mm ,Stainless Steel,Round,11.5mm,Deployant Buckle,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,22mm,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-43mm-L3-760-4-76-5.html
Calfskin Leather,,,Fixed,,Solid,43mm ,Stainless Steel,Round,11.5mm,Deployant Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,22mm,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-43mm-L3-760-4-56-3.html
Stainless Steel,,,Fixed,,Solid,42mm ,Stainless Steel,Round,7.82mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-42mm/5588-st-00300.html
Stainless Steel,,,Fixed,,Solid,42mm ,Stainless Steel,Round,7.82mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Grey,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-42mm/5588-st-60001.html
Stainless Steel,,,Fixed,,Solid,42mm ,Stainless Steel,Round,7.82mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-42mm/5588-st-20001.html
Stainless Steel,,,Fixed,,Solid,42mm ,Stainless Steel,Round,7.82mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Blue,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-42mm/5588-st-50001.html
Stainless Steel,,,Fixed,,Solid,39mm ,Stainless Steel,Round,7.89mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-st-00300.html
Stainless Steel,,,Fixed,,Solid,39mm ,Stainless Steel,Round,7.6mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Grey,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5599-st-00608.html
Stainless Steel,,,Fixed,,Solid,39mm ,Stainless Steel,Round,7.6mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5599-st-00658.html
Stainless Steel,,,Fixed,,Solid,39mm ,Stainless Steel,Round,7.6mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5599-st-00308.html
Stainless Steel,,,Fixed,,Solid,39mm ,Stainless Steel,Round,8.29mm,Tang Buckle,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5484-st-65001.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,41mm ,Stainless Steel,Round,10.2mm,Folding Clasp With Safety Latch,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Quartz-41mm/L3.689.4.53.6.html
Stainless Steel & Plated Yellow Gold,,,Fixed,,Solid,39mm ,Stainless Steel & Plated Yellow Gold,Round,7.89mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-stp-00300.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,39mm ,Stainless Steel,Round,10.2mm,Folding Clasp With Safety Latch,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Quartz-39mm/L3.640.4.56.6.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,41mm ,Stainless Steel,Round,10.2mm,Folding Clasp With Safety Latch,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Blue,,,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Quartz-41mm/L3.740.4.96.6.html
Stainless Steel & PVD,,,Fixed,,Solid,40mm ,Stainless Steel,Round,8.2mm,Push Button Folding Clasp,,,Brushed,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,Yes,100m/330ft,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Date-Mens/mi1018-ss002-131.html
