Band Material,Band Name,Band Notes,Bezel,COSC Certified,Case Back,Case Dimensions,Case Material,Case Shape,Case Thickness,Clasp,Clasp Features,Clasp Notes,Color/Finish,Complications,Condition,Crystal,Dial Color,Edition,Lug Width,Movement,Screw-in Crown,Water Resistance,url
Yellow Gold Plated Steel,,,,,Solid,22mm X 27mm (34mm incl. lugs),Gold Plated,Rectangle,6.30mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,50m/150ft,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Rectangle/mi2023-yp016-122.html
Stainless Steel,,,Fixed,,Solid,32mm ,Stainless Steel,Round,8.2mm,Push Button Folding Clasp,,,Brushed,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,100m/330ft,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Ladies/mi1014-ss002-330.html
Stainless Steel,,,Fixed,,Solid,36mm ,Stainless Steel,Round,9.20mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,300m,https://www.prestigetime.com/item/Longines/Conquest-Quartz-36mm/L3.378.4.58.6.html
Stainless Steel,,,Fixed,,Solid,29mm ,Stainless Steel,Round,6.79mm,Push Button Folding Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Brown,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-29mm/5988-st-70001.html
Stainless Steel,,,Fixed,,Solid,28mm ,Stainless Steel,Round,5.7mm,Tang Buckle,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tradition/5966-st-00300.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,29mm ,Stainless Steel,Round,9.20mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,,300m,https://www.prestigetime.com/item/Longines/Conquest-Quartz-Ladies-29-5mm/L3.277.4.16.6.html
Stainless Steel,,,Fixed,,Solid,29mm ,Stainless Steel,Round,6.79mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-29mm/5988-st-00300.html
Stainless Steel,,,Fixed,,Solid,28mm ,Stainless Steel,Round,6.75mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Grey,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5399-st-00608.html
Stainless Steel,,,Fixed,,Solid,34mm ,Stainless Steel,Round,7mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-34mm/5388-st-65081.html
Stainless Steel,,,Fixed,,Solid,34mm ,Stainless Steel,Round,7mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Blue,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-34mm/5388-st-50081.html
