brand,image_name,image_url,model_name,model_num,price,url
Maurice Lacroix,MauriceLacroixMirosRectanglemi2023yp016122,https://www.prestigetime.com/images/watches/mi2023-yp016-122-a_main.jpg,Miros Rectangle,mi2023-yp016-122,1400.0,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Rectangle/mi2023-yp016-122.html
Maurice Lacroix,MauriceLacroixMirosQuartzLadiesmi1014ss002330,https://www.prestigetime.com/images/watches/mi1014-ss002-330_main.jpg,Miros Quartz Ladies,mi1014-ss002-330,1280.0,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Ladies/mi1014-ss002-330.html
Longines,LonginesConquestQuartz36mmL33784586,https://www.prestigetime.com/images/watches/L3.378.4.58.6_main.jpg,Conquest Quartz 36mm,L3.378.4.58.6,800.0,https://www.prestigetime.com/item/Longines/Conquest-Quartz-36mm/L3.378.4.58.6.html
Raymond Weil,RaymondWeilToccata29mm5988st70001,https://www.prestigetime.com/images/watches/5988-st-70001_main.jpg,Toccata 29mm,5988-st-70001,850.0,https://www.prestigetime.com/item/Raymond-Weil/Toccata-29mm/5988-st-70001.html
Raymond Weil,RaymondWeilTradition5966st00300,https://www.prestigetime.com/images/watches/5966-ST-00300_main.jpg,Tradition,5966-st-00300,850.0,https://www.prestigetime.com/item/Raymond-Weil/Tradition/5966-st-00300.html
Longines,LonginesConquestQuartzLadies295mmL32774166,https://www.prestigetime.com/images/watches/L32774166m_main.jpg,Conquest Quartz Ladies 29.5mm,L3.277.4.16.6,800.0,https://www.prestigetime.com/item/Longines/Conquest-Quartz-Ladies-29-5mm/L3.277.4.16.6.html
Raymond Weil,RaymondWeilToccata29mm5988st00300,https://www.prestigetime.com/images/watches/5988-st-00300_main.jpg,Toccata 29mm,5988-st-00300,850.0,https://www.prestigetime.com/item/Raymond-Weil/Toccata-29mm/5988-st-00300.html
Raymond Weil,RaymondWeilTango5399st00608,https://www.prestigetime.com/images/watches/5399-ST-00608_main.jpg,Tango,5399-st-00608,950.0,https://www.prestigetime.com/item/Raymond-Weil/Tango/5399-st-00608.html
Raymond Weil,RaymondWeilToccata34mm5388st65081,https://www.prestigetime.com/images/watches/5388-st-65081_main.jpg,Toccata 34mm,5388-st-65081,895.0,https://www.prestigetime.com/item/Raymond-Weil/Toccata-34mm/5388-st-65081.html
Raymond Weil,RaymondWeilToccata34mm5388st50081,https://www.prestigetime.com/images/watches/5388-st-50081_main.jpg,Toccata 34mm,5388-st-50081,895.0,https://www.prestigetime.com/item/Raymond-Weil/Toccata-34mm/5388-st-50081.html
Longines,LonginesConquestQuartz34mmL33774766,https://www.prestigetime.com/images/watches/L3.377.4.76.6_main.jpg,Conquest Quartz 34mm,L3.377.4.76.6,800.0,https://www.prestigetime.com/item/Longines/Conquest-Quartz-34mm/L3.377.4.76.6.html
Longines,LonginesConquestQuartz34mmL33774586,https://www.prestigetime.com/images/watches/L3.377.4.58.6_main.jpg,Conquest Quartz 34mm,L3.377.4.58.6,800.0,https://www.prestigetime.com/item/Longines/Conquest-Quartz-34mm/L3.377.4.58.6.html
