brand,image_name,image_url,model_name,model_num,price,url
Raymond Weil,RaymondWeilToccata39mm5488stc00300,https://www.prestigetime.com/images/watches/5488-stc-00300_main.jpg,Toccata 39mm,5488-stc-00300,750.0,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-stc-00300.html
Raymond Weil,RaymondWeilToccata39mm5488stc20001,https://www.prestigetime.com/images/watches/5488-stc-20001_main.jpg,Toccata 39mm,5488-stc-20001,750.0,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-stc-20001.html
Raymond Weil,RaymondWeilToccata39mm5488sl565001,https://www.prestigetime.com/images/watches/5488-sl5-65001_main.jpg,Toccata 39mm,5488-sl5-65001,750.0,https://www.prestigetime.com/Raymond-Weil-Toccata-39mm-5488-sl5-65001.html
Raymond Weil,RaymondWeilToccata39mm5488pc565001,https://www.prestigetime.com/images/watches/5488-stc-50001_main.jpg,Toccata 39mm,5488-pc5-65001,850.0,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-pc5-65001.html
Raymond Weil,RaymondWeilToccata39mm5488pc520001,https://www.prestigetime.com/images/watches/5488-pc5-20001_main.jpg,Toccata 39mm,5488-pc5-20001,850.0,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-pc5-20001.html
Maurice Lacroix,MauriceLacroixMirosQuartzDateMensmi1018ss002330,https://www.prestigetime.com/images/watches/mi1018-ss002-330_main.jpg,Miros Quartz Date Mens,mi1018-ss002-330,1280.0,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Date-Mens/mi1018-ss002-330.html
Maurice Lacroix,MauriceLacroixMirosQuartzDateMensmi1018ss002130,https://www.prestigetime.com/images/watches/mi1018-ss002-130_main.jpg,Miros Quartz Date Mens,mi1018-ss002-130,1280.0,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Date-Mens/mi1018-ss002-130.html
Longines,LonginesConquestQuartz41mmL36594586,https://www.prestigetime.com/images/watches/L36594586_main.jpg,Conquest Quartz 41mm,L3.659.4.58.6,800.0,https://www.prestigetime.com/item/Longines/Conquest-Quartz-41mm/L3.659.4.58.6.html
Raymond Weil,RaymondWeilTradition5466st00208,https://www.prestigetime.com/images/watches/5466-ST-00208_main.jpg,Tradition,5466-st-00208,850.0,https://www.prestigetime.com/item/Raymond-Weil/Tradition/5466-st-00208.html
Raymond Weil,RaymondWeilTradition5466st00300,https://www.prestigetime.com/images/watches/5466-ST-00300_main.jpg,Tradition,5466-st-00300,850.0,https://www.prestigetime.com/item/Raymond-Weil/Tradition/5466-st-00300.html
Raymond Weil,RaymondWeilTradition5466st00608,https://www.prestigetime.com/images/watches/5466-ST-00608_main.jpg,Tradition,5466-st-00608,850.0,https://www.prestigetime.com/item/Raymond-Weil/Tradition/5466-st-00608.html
Raymond Weil,RaymondWeilToccata39mm5484stc20001,https://www.prestigetime.com/images/watches/5484-stc-20001_main.jpg,Toccata 39mm,5484-stc-20001,850.0,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5484-stc-20001.html
Raymond Weil,RaymondWeilToccata39mm5488pc00300,https://www.prestigetime.com/images/watches/5488-pc-00300-1_main.jpg,Toccata 39mm,5488-pc-00300,850.0,https://www.prestigetime.com/item/Raymond-Weil/Toccata-39mm/5488-pc-00300.html
Longines,LonginesConquestQuartz43mmL37604566,https://www.prestigetime.com/images/watches/L37604566_main.jpg,Conquest Quartz 43mm,L3.760.4.56.6,800.0,https://www.prestigetime.com/Longines-Conquest-Quartz-43mm-L3-760-4-56-6.html
Longines,LonginesConquestQuartz43mmL37604966,https://www.prestigetime.com/images/watches/L37604966_main.jpg,Conquest Quartz 43mm,L3.760.4.96.6,800.0,https://www.prestigetime.com/Longines-Conquest-Quartz-43mm-L3-760-4-96-6.html
Longines,LonginesConquestQuartz43mmL37604766,https://www.prestigetime.com/images/watches/L37604766_main.jpg,Conquest Quartz 43mm,L3.760.4.76.6,800.0,https://www.prestigetime.com/Longines-Conquest-Quartz-43mm-L3-760-4-76-6.html
Longines,LonginesConquestQuartz43mmL37604765,https://www.prestigetime.com/images/watches/L37604765_main.jpg,Conquest Quartz 43mm,L3.760.4.76.5,800.0,https://www.prestigetime.com/Longines-Conquest-Quartz-43mm-L3-760-4-76-5.html
Longines,LonginesConquestQuartz43mmL37604563,https://www.prestigetime.com/images/watches/L37604563_main.jpg,Conquest Quartz 43mm,L3.760.4.56.3,800.0,https://www.prestigetime.com/Longines-Conquest-Quartz-43mm-L3-760-4-56-3.html
Raymond Weil,RaymondWeilToccata42mm5588st00300,https://www.prestigetime.com/images/watches/5588-st-00300_main.jpg,Toccata 42mm,5588-st-00300,895.0,https://www.prestigetime.com/item/Raymond-Weil/Toccata-42mm/5588-st-00300.html
